kind,class,ref_addr,size,instr_structural,instr_offset_only,instr_const_only,name
FUNC,logic,0x20154fdc,20912,2186,568,212,__static_initialization_and_destruction_0() [clone .lto_priv.32]
FUNC,logic,0x2015a1e8,6936,714,132,72,_sub_I_65535_0.0
FUNC,logic,0x200dd4a4,3588,356,26,5,"LivePitchShifter::render(long*, long, long, long, long, long)"
FUNC,logic,0x20108dbc,2036,282,10,8,InstrumentClip::InstrumentClip(Song*)
FUNC,logic,0x2014b484,7728,174,88,62,deluge_main.isra.0
FUNC,logic,0x2010780c,3550,167,38,13,UITimerManager::routine() [clone .constprop.0]
FUNC,logic,0x20113f20,4614,161,251,10,mount_volume
FUNC,logic,0x20138f58,2496,97,3,9,"SampleBrowser::loadAllSamplesInFolder(bool, long*, Sample***, bool*, long*) [clone .constprop.0]"
FUNC,logic,0x2007d4dc,136,95,0,2,"PlaybackHandler::getTempoStringForOLED(float, StringBuf&) [clone .constprop.0]"
FUNC,logic,0x2007d564,100,86,0,1,deluge::gui::menu_item::DecimalWithoutScrolling::getNotificationValue(StringBuf&)
FUNC,logic,0x2010f7e4,7748,85,210,27,usb_cstd_usb_task.part.0
FUNC,logic,0x20152c80,4466,82,0,13,"GlobalEffectableForClip::renderOutput(ModelStackWithTimelineCounter*, ParamManager*, std::span<StereoSample, 4294967295u>, long*, long, long, bool, bool, OutputType, SampleRecorder*)"
FUNC,logic,0x200e7b30,18164,75,16,52,"Sound::render(ModelStackWithThreeMainThings*, std::span<StereoSample, 4294967295u>, long*, long, long, bool, long, SampleRecorder*)"
FUNC,logic,0x2013c2d4,1264,72,10,5,SessionView::transitionToViewForClip(Clip*)
FUNC,logic,0x2014633c,2160,72,7,3,"SoundEditor::buttonAction(unsigned char, bool, bool)"
FUNC,logic,0x200a20f0,720,69,5,5,Voice::calculatePhaseIncrements(ModelStackWithSoundFlags*)
FUNC,logic,0x20140a5c,1212,67,10,7,"InstrumentClipMinder::buttonAction(unsigned char, bool, bool)"
FUNC,logic,0x200d38b8,336,65,5,6,deluge::gui::menu_item::gate::Selection::getOptions(deluge::gui::menu_item::Selection::OptType)
FUNC,logic,0x2015f9ac,3908,64,161,77,_sub_D_65535_1.1
FUNC,logic,0x2007e64c,832,62,2,1,"PadLEDs::renderExplodeAnimation(long, bool)"
FUNC,logic,0x20090408,188,53,4,2,deluge::gui::context_menu::DeleteFile::getOptions()
FUNC,logic,0x2006f9e8,796,50,29,4,"deluge::hid::display::Rainfall::spawn(unsigned int, bool) [clone .constprop.0]"
FUNC,logic,0x2016f3a8,628,44,0,4,"DxVoice::update(DxPatch&, int)"
FUNC,logic,0x2010dcd4,1062,41,13,11,PlaybackHandler::midiRoutine() [clone .constprop.0]
FUNC,logic,0x2012d8d8,1096,41,15,2,"Buttons::buttonAction(unsigned char, bool, bool)"
FUNC,logic,0x2007bf24,48,38,0,0,deluge::gui::menu_item::PatchCableStrength::getNotificationValue(StringBuf&)
FUNC,logic,0x2016efa8,920,36,2,4,"DxVoice::init(DxPatch&, int, int)"
FUNC,logic,0x200d3ca0,408,36,3,2,deluge::gui::menu_item::osc::Type::renderInHorizontalMenu(SlotPosition const&)
FUNC,logic,0x2007bef4,48,35,0,0,deluge::gui::menu_item::Decimal::getNotificationValue(StringBuf&)
FUNC,logic,0x20147544,2502,34,12,9,"SessionView::buttonAction(unsigned char, bool, bool)"
FUNC,logic,0x200c2888,128,33,0,0,deluge::gui::menu_item::SyncLevel::renderInHorizontalMenu(SlotPosition const&)
FUNC,logic,0x200b1758,472,32,2,1,deluge::hid::display::SevenSegment::render()
FUNC,logic,0x200c2638,184,32,0,0,deluge::gui::menu_item::arpeggiator::PresetMode::renderInHorizontalMenu(SlotPosition const&)
FUNC,logic,0x20177710,8,32,0,0,____disable_irq_from_thumb
FUNC,logic,0x200bc628,420,31,6,9,"deluge::memory::ObjectPool<TimeStretcher, deluge::memory::fast_allocator>::recycle(TimeStretcher*)"
FUNC,logic,0x200bc83c,432,31,6,8,"deluge::memory::ObjectPool<VoiceSample, deluge::memory::fast_allocator>::recycle(VoiceSample*)"
FUNC,logic,0x20177708,8,31,0,0,__memcpy_from_thumb
FUNC,logic,0x200bd59c,196,30,4,1,deluge::hid::display::swapDisplayType()
FUNC,logic,0x201240f4,524,29,3,5,SampleBrowser::opened()
FUNC,logic,0x200b1988,256,29,2,2,deluge::hid::display::SevenSegment::transitionToNewLayer(NumericLayer*)
FUNC,logic,0x2014177c,124,29,0,1,SoundEditor::goUpOneLevel()
FUNC,logic,0x201776f0,8,29,0,0,___ZN6deluge3dsp6reverb8Freeverb6updateEv_from_thumb
FUNC,logic,0x2009604c,184,28,5,4,hmidi_detach
FUNC,logic,0x201040d0,712,28,4,4,"PlaybackHandler::finishTempolessRecording(bool, long, bool) [clone .constprop.0]"
FUNC,logic,0x200bc534,244,28,2,5,AudioEngine::solicitTimeStretcher()
FUNC,logic,0x200d9440,372,28,2,4,"StorageManager::createNewNonAudioInstrument(OutputType, long, long)"
FUNC,logic,0x2015012c,56,28,3,0,AudioEngine::routine_task()
FUNC,logic,0x200bd118,448,27,6,8,"deluge::memory::ObjectPool<Voice, deluge::memory::fast_allocator>::recycle(Voice*)"
FUNC,logic,0x200b1c04,376,27,3,2,"deluge::hid::display::SevenSegment::innerSetText(std::basic_string_view<char, std::char_traits<char> >, bool, std::vector<unsigned char, std::allocator<unsigned char> >, bool, unsigned char*, bool, bool, long, unsigned char*, bool)"
FUNC,logic,0x200bc2e0,236,27,2,3,AudioEngine::solicitVoiceSample()
FUNC,logic,0x200b1a88,120,27,2,2,"deluge::hid::display::SevenSegment::displayLoadingAnimationText(char const*, bool, bool)"
FUNC,logic,0x200930d8,42,27,0,0,non-virtual thunk to deluge::gui::menu_item::sidechain::Shape::getColumnLabel(StringBuf&)
FUNC,logic,0x201776b8,8,27,0,0,___ZN13TimeStretcher12getSamplePosEl_from_thumb
FUNC,logic,0x2011cc00,388,26,6,8,SaveInstrumentPresetUI::opened()
FUNC,logic,0x200b1b00,260,26,2,2,"deluge::hid::display::SevenSegment::setScrollingText(char const*, long, long, int, unsigned char)"
